date_mutation,valeur_fonciere,code_commune,nom_commune,type_local,surface_reelle_bati,longitude,latitude,prix_m2
2024-01-10,922500.0,35288,Saint-Malo,Maison,214.0,-1.977656,48.664654,4310.747663551402
2024-01-05,388500.0,35288,Saint-Malo,Maison,45.0,-2.023956,48.650628,8633.333333333334
2024-01-11,356620.0,35288,Saint-Malo,Appartement,36.0,-1.989323,48.663851,9906.111111111111
2024-01-16,900000.0,35288,Saint-Malo,Maison,180.0,-1.977391,48.650556,5000.0
2024-01-16,676975.0,35263,Saint-Coulomb,Maison,139.0,-1.915052,48.673494,4870.323741007194
2024-01-15,160000.0,35288,Saint-Malo,Appartement,25.0,-1.989475,48.65995,6400.0
2024-01-12,800000.0,35288,Saint-Malo,Appartement,87.0,-2.021341,48.63485,9195.402298850575
2024-01-22,1046500.0,35093,Dinard,Maison,236.0,-2.060932,48.632108,4434.322033898305
2024-01-03,298000.0,35049,Cancale,Maison,113.0,-1.862093,48.680492,2637.16814159292
2024-01-03,195000.0,35049,Cancale,Appartement,47.0,-1.86287,48.682802,4148.936170212766
2024-01-15,3000000.0,35288,Saint-Malo,Maison,220.0,-2.001873,48.657355,13636.363636363636
2024-01-03,320000.0,35288,Saint-Malo,Maison,75.0,-1.987773,48.633297,4266.666666666667
2024-01-10,1000000.0,35288,Saint-Malo,Appartement,110.0,-2.024547,48.635522,9090.90909090909
2024-01-11,500000.0,35093,Dinard,Maison,102.0,-2.079179,48.632,4901.9607843137255
2024-01-11,500000.0,35093,Dinard,Maison,102.0,-2.079179,48.632,4901.9607843137255
2024-01-09,200000.0,35288,Saint-Malo,Appartement,56.0,-2.025221,48.648208,3571.4285714285716
2024-01-18,270000.0,35288,Saint-Malo,Appartement,65.0,-2.004445,48.648127,4153.846153846154
2024-01-15,700000.0,35263,Saint-Coulomb,Maison,134.0,-1.953598,48.674997,5223.880597014925
2024-01-15,700000.0,35263,Saint-Coulomb,Maison,134.0,-1.953598,48.674997,5223.880597014925
2024-01-09,441000.0,35288,Saint-Malo,Appartement,75.0,-2.009467,48.646611,5880.0
2024-01-15,432000.0,35288,Saint-Malo,Maison,110.0,-1.993479,48.649287,3927.2727272727275
2024-01-10,415000.0,35288,Saint-Malo,Appartement,69.0,-2.006955,48.65459,6014.492753623188
2024-01-04,280000.0,35288,Saint-Malo,Maison,50.0,-1.979399,48.679204,5600.0
2024-01-09,240000.0,35288,Saint-Malo,Appartement,47.0,-1.993592,48.658847,5106.382978723404
2024-01-22,524000.0,35093,Dinard,Appartement,78.0,-2.059689,48.627852,6717.948717948718
2024-01-12,310000.0,35288,Saint-Malo,Appartement,84.0,-2.009743,48.635427,3690.4761904761904
2024-01-12,320000.0,35288,Saint-Malo,Maison,103.0,-1.992979,48.632346,3106.7961165048546
2024-01-19,1050000.0,35288,Saint-Malo,Appartement,78.0,-1.988269,48.666466,13461.538461538461
2024-01-09,850000.0,35288,Saint-Malo,Appartement,85.0,-1.989017,48.664141,10000.0
2024-01-23,470000.0,35288,Saint-Malo,Maison,110.0,-1.990862,48.658772,4272.727272727273
2024-01-23,190000.0,35288,Saint-Malo,Appartement,63.0,,,3015.873015873016
2024-01-17,466500.0,35093,Dinard,Maison,90.0,-2.074165,48.630769,5183.333333333333
2024-01-03,286300.0,35288,Saint-Malo,Maison,78.0,-1.993927,48.638908,3670.5128205128203
2024-01-26,250000.0,35093,Dinard,Appartement,36.0,-2.057908,48.634219,6944.444444444444
2024-01-29,295000.0,35288,Saint-Malo,Appartement,85.0,-2.008779,48.643509,3470.5882352941176
2024-01-15,450000.0,35093,Dinard,Appartement,69.0,-2.058796,48.624013,6521.739130434783
2024-01-12,447000.0,35288,Saint-Malo,Maison,86.0,-2.00428,48.652676,5197.674418604651
2024-01-18,670000.0,35288,Saint-Malo,Maison,131.0,-2.013917,48.638535,5114.503816793893
2024-01-15,575350.0,35049,Cancale,Maison,180.0,-1.866784,48.685171,3196.3888888888887
2024-01-11,900000.0,35093,Dinard,Appartement,128.0,-2.059478,48.631259,7031.25
2024-01-08,1025000.0,35093,Dinard,Maison,150.0,-2.071304,48.635175,6833.333333333333
2024-01-19,200000.0,35288,Saint-Malo,Maison,85.0,-1.989384,48.647713,2352.9411764705883
2024-01-09,122000.0,35288,Saint-Malo,Appartement,23.0,-2.025077,48.65028,5304.347826086957
2024-01-15,368000.0,35093,Dinard,Maison,81.0,-2.06551,48.618386,4543.20987654321
2024-01-26,453000.0,35093,Dinard,Appartement,65.0,-2.054152,48.632509,6969.2307692307695
2024-01-05,180500.0,35288,Saint-Malo,Appartement,44.0,-1.970996,48.65356,4102.272727272727
2024-01-23,90000.0,35288,Saint-Malo,Appartement,33.0,-2.023987,48.649619,2727.2727272727275
